הערוץ_שלנו,ספק,קוד_וואלה,שם_בוואלה
ספורט 6,hot,204,ספורט 5+
ערוץ 9,hot,3714,ערוץ 9 HD
נשיונל ווילד,yes,3051,NAT GEO WILD
נשיונל גאוגרפיק,hot,205,נ. ג'אוגרפיק
ערוץ ההיסטוריה,hot,207,היסטורי
בייבי,yes,3791,בייבי
ערוץ גוניור,yes,188,ג'וניור
ערוץ לולי,hot,350,HOT לולי
טין ניק,hot,3724,TeenNick
ניקולודיון,hot,517,ניקלודיאון
ערוץ הכוכבים,hot,3064,ערוץ דיסני
דיסני ג'וניור,yes,3577,דיסני ג'וניור
סלקום קידס,hot,3064,ערוץ דיסני
ויוה טלנובלות,hot,208,ערוץ ויוה
ויוה פרימיום,yes,4433,Viva Premium
ויוה וינטג',yes,4358,Viva Vintage
ויוה איסטנבול,hot,208,ערוץ ויוה
HOT בידור,hot,349,hot בידור ישראלי
HOT סדרות,hot,3693,MTV סדרות
HOT 3,hot,353,hot3
cellcom קולנוע הישראלי,yes,3678,ערוץ הקולנוע הישראלי
HOT GOLD,hot,345,HOT GOLD
one edge,hot,3551,ערוץ ONE
one 2,hot,4259,ONE 2 HD
one 1,hot,3551,ערוץ ONE
ספורט 5 גולד,yes,66,5GOLD
ספורט 5 סטארס,yes,4271,Sport 5 Stars
דסני,hot,3064,ערוץ דיסני
זום,yes,3666,ZOOM
הוט זון,hot,3182,Hot Zone
הוט דרמה,hot,341,hot bombay
ספורט 5,hot,204,ספורט 5+
Mako(+12),hot,3819,קשת
כאן חינוכית,yes,3789,מכאן
ראשת 13,yes,3826,רשת SD
C14,hot,337,FRANCE 24
i24,hot,202,fox news
כאן11,yes,3787,HD כאן
Yes Movies Action,yes,316,yes stars Action
הופ!,hot,212,הופ! - ערוץ קטנטנים
ים תיכוני,hot,3766,ים תיכוני
חיים טובים,hot,198,ערוץ החיים הטובים
בית+,hot,504,בית+
yes ישראלי,yes,3555,Yes Comedy
yes Drama,yes,315,yes stars Drama
yes Comedy,yes,3555,Yes Comedy
yes Action,yes,316,yes stars Action
HOT HBO,hot,3179,HOT HD
דיסקברי,hot,3660,DISCOVERY
מכאן 33,yes,3789,מכאן
ספורט 4,hot,204,ספורט 5+
יורוספורט 2,hot,3536,EUROSPORT 2
Food Network,yes,144,ערוץ האוכל
HOT Comedy,hot,3547,HOT קומדי סנטרל
ספורט 1,yes,3540,ספורט 1 HD
ספורט 2,hot,289,ערוץ הספורט
ספורט 3,hot,289,ערוץ הספורט
yes Movies Comedy,yes,314,yes stars Comedy
yes Movies Drama,yes,315,yes stars Drama
yes Movies Kids,yes,188,ג'וניור
