ספק,קוד,שם בוואלה,מס_תוכניות
hot,3605,JIMJAM,116
hot,3834,A+,106
hot,350,HOT לולי,105
hot,212,הופ! - ערוץ קטנטנים,96
hot,3665,FRANCE 24 - ערבית,92
hot,337,FRANCE 24,91
hot,3514,FRANCE 24 - FR,88
hot,3672,דיסני ג'וניור,72
hot,3547,HOT קומדי סנטרל,64
hot,3064,ערוץ דיסני,64
hot,517,ניקלודיאון,64
hot,3727,HD קומדי סנטרל,64
hot,3635,ZOOM,63
hot,3724,TeenNick,60
hot,3513,EURONEWS,53
hot,3688,DW NEWS,52
hot,3699,RTVC,52
hot,3831,DIY,52
hot,255,מוסיקה 24,50
hot,341,hot bombay,48
hot,3158,בייבי,48
hot,3693,MTV סדרות,45
hot,446,ארכיון - DAYSTAR,44
hot,284,zee tv,43
hot,3773,ANGEL TV,42
hot,207,היסטורי,41
hot,543,ערוץ האוכל,39
hot,3603,COMEDY TV,39
hot,349,hot בידור ישראלי,38
hot,199,!E ערוץ הבידור,36
hot,198,ערוץ החיים הטובים,36
hot,334,e!,36
hot,375,אגו,35
hot,544,ערוץ הבריאות,35
hot,333,duna tv,35
hot,3182,Hot Zone,34
hot,205,נ. ג'אוגרפיק,34
hot,191,metv,34
hot,3579,HOT ZONE HD,34
hot,3661,DISCOVERY HD,34
hot,3660,DISCOVERY,34
hot,208,ערוץ ויוה,33
hot,510,ויוה פלטינה,33
hot,504,בית+,33
hot,239,vh 1 - classic,32
hot,3741,TV8,32
hot,3740,RAIN,32
hot,353,hot3,31
hot,3179,HOT HD,31
hot,3714,ערוץ 9 HD,31
hot,3766,ים תיכוני,31
hot,3767,מוזיקה יוונית,31
hot,3772,ערוץ 33 חדש,30
hot,365,rtv - int,28
hot,370,tvri,28
hot,546,ערוץ הטיולים,27
hot,3520,TVCI,27
hot,545,ערוץ ההידברות,26
hot,3621,FRANCE 3,26
hot,3690,HOT PLUS HD,26
hot,3689,HOT PLUS,26
hot,3748,MUZIKA PEROVOGO,26
hot,3771,ערוץ 1 HD חדש,26
hot,3819,קשת,25
hot,369,TV NANNY,25
hot,3183,ערוץ הקבלה,25
hot,559,ערוץ תרבות מדע וטבע,24
hot,204,ספורט 5+,24
hot,367,TELEFE INTERNACIONAL,24
hot,321,5+ GOLD,24
hot,3768,ערוץ 8 HD,24
hot,261,rotana,23
hot,3567,MEDIASET ITALIA,23
hot,3686,HORAS 24 CANAL,23
hot,289,ערוץ הספורט,22
hot,245,protv,22
hot,430,אינטראקטיב - ע.ז - VOD TEST,22
hot,3700,SONLIFE,22
hot,3551,ערוץ ONE,21
hot,3550,ערוץ ONE HD,21
hot,202,fox news,20
hot,354,IETV,20
hot,3622,FRANCE 5,20
hot,3723,Fox Business,20
hot,247,bloomberg,19
hot,4259,ONE 2 HD,19
hot,357,mezzo full,18
hot,3582,MEZZO LIVE HD,18
hot,3618,הלא טי.וי,18
hot,3624,הלא טי. וי - משוכפל,18
hot,3673,Shanson TV,18
hot,336,EUROSPORT HD,17
hot,3612,ערוץ 1+1,17
hot,339,hot action,16
hot,3584,HOT ACTION HD,16
hot,3848,DOMASHNEY,16
hot,322,5+ LIVE,15
hot,3534,CTC,15
hot,3600,5LIVE HD,15
hot,3185,?¥?¾??! ??°??µ ?´?µ????²?¾,14
hot,260,ירדן,14
hot,332,DOM KINO,14
hot,3536,EUROSPORT 2,14
hot,344,hot fun,13
hot,343,hot drama,13
hot,521,ספורט 5 HD,13
hot,554,ערוץ לשימוש פנימי 6,13
hot,3585,HOT DRAMA HD,13
hot,3586,HOT FUN HD,13
hot,4662,5MAX,13
hot,223,mtv - europe,12
hot,345,HOT GOLD,11
hot,340,HOT BOLLYWOOD,11
hot,3175,BOLLYWOOD HD,11
hot,3587,HOT GOLD HD,11
hot,3608,TELECAFE,11
hot,3611,VREMYA,11
hot,514,מיוזיק בוקס,9
hot,335,esc,8
hot,360,mtv hits,8
hot,355,inter+,8
hot,512,טוניס,8
hot,516,מרוקו,8
hot,328,BLUE HUSTLER,5
yes,3654,JimJam RUS,115
yes,212,הופ! - ערוץ קטנטנים,96
yes,188,ג'וניור,65
yes,3064,ערוץ דיסני,64
yes,3666,ZOOM,63
yes,3577,דיסני ג'וניור,62
yes,94,ניקלודיאון,61
yes,3639,ניק ג'וניור,59
yes,314,yes stars Comedy,50
yes,255,מוסיקה 24,50
yes,3555,Yes Comedy,50
yes,284,zee tv,43
yes,207,היסטורי,41
yes,144,ערוץ האוכל,39
yes,199,!E ערוץ הבידור,36
yes,198,ערוץ החיים הטובים,36
yes,3790,TNT,36
yes,138,ערוץ הבריאות,35
yes,205,נ. ג'אוגרפיק,34
yes,149,HD N.G.,34
yes,191,metv,34
yes,208,ערוץ ויוה,33
yes,3588,+ ויוה,33
yes,3063,בית ומשפחה,33
yes,3051,NAT GEO WILD,33
yes,4433,Viva Premium,33
yes,136,אגו,32
